Reference, Value
R306,100
R307,270
R308,1K
R310,470
R311,120
R312,27
R313,220K
R314,18K
R315,5K6
R316,100
R317,270
R320,470
R321,120
R322,27
R323,220K
R324,18K
R325,5K6
R326,100
R327,270
R331,1M
R332,NP
R401,1K
R402,56K
R403,33K
R404,120K
R405,47
R406,22K
R407,10K
R409,56K
R410,18K
R412,3K3
R413,1M
R414,10K
R415,47K
R416,22K
R417,15K
R418,1K5
R419,68K
R425,100
R426,120
R427,1R0
R428,1K
R450,22K
R451,1K
R453,300K
R454,56K
R455,22K
R456,1K5
R457,220
R458,33K
R461,22K
R462,22K
R463,6K8
R464,10K
R465,15K
R466,6K8
R467,NP
R468,100K
R469,1K
R470,2K2
R471,1K
R472,10K
R473,47K
R474,1K
R475,22K
R476,27K
R502,470
R504,15K
R505,2K2
R506,10K
R507,100
R508,100
R510,470
R511,33
R512,NP
R513,470
R514,1K8
R515,22K
R516,0R1
R517,NP
R518,NP
R519,4.7
R520,3R3
R521,680
R522,2K2
R523,100
R524,2K21
R525,3K01
R526,12K
R529,10K
R532,4.7
R533,1K8
R534,1K8
R535,1K8
R536,1K8
R537,1K8
R538,1K8
R539,1K8
R549,47K
R550,2K2
R551,12K
R552,22K
R553,27K
R554,2K2
R555,10K
R556,18K
R557,2K2
R558,3K3
R559,47K
R560,6K8
R561,1K
R562,15K
R563,22K
R564,2K2
R565,10K
R566,2K2
R567,10K
R568,10K
R572,33K
R573,22K
R581,22K
R583,2K2
R584,0
R585,120K
R586,10K
R751,100
R901,470K
R902,1
R903,220K
R905,22K
R906,220K
R911,1M
R912,1M
R913,33
R914,0R1
R915,100
R917,1K5
R918,8K2
R919,NP
R921,4K7
R922,47K
R923,2K2
R924,12K
R925,56K
R926,27K
R927,100K
R928,33K
R929,330
R953,33K
R958,4K7
R959,4K7
R961,82K
R962,2K2
R963,3K9
R964,2K7
R965,1K
R966,1K2
R967,1R5
R968,68K
R969,68K
R970,470K
R971,10K
R972,39K
SG301,SPARK_GAP
SG311,SPARK_GAP
SG321,SPARK_GAP
SG331,SPARK_GAP
SG332,NP
SW280,NP
T501,05F13617A1
T502,05F13618A1
T901,05F13619A1
TP1,N
TP10,N
TP12,N
TP13,N
TP14,N
TP15,N
TP2,N
TP26,N
TP28,N
TP3,N
TP30,N
TP32,N
TP4,N
TP5,N
TP6,N
TP7,N
TP8,N
TP9,N
TP901,N
TP902,N
TP903,N
TP904,N
TP905,N
TP906,N
TP907,N
TP908,N
TP909,N
TP910,N
TP911,N
TP912,N
TP913,N
TP914,N
TP915,N
U101,74LS86
U201,M51387P
U401,LA7837
U402,UPC358
U450,AN5551
U451,4558
U501,UPC358
U550,LA7853
U951,7812
U961,TL431
VR201,3K3
VR202,3K3
VR203,3K3
VR204,4K7
VR205,10K
VR280,3K3
VR281,3K3
VR282,3K3
VR283,5K
VR284,3K3
VR285,10K
VR286,10K
VR287,10K
VR288,10K
VR401,2K2
VR402,100K
VR450,3K
VR451,10K
VR452,3K
VR453,1K
VR550,5K
VR551,22K
VR552,10K
VR951,1K
VR952,1K
YOKE1,KY4UL319X
YOKE2,KY4UL319X
ZD101,5v1
ZD102,5v1
ZD103,5v1
ZD301,7v5
ZD311,7v5
ZD321,7v5
ZD449,12v
ZD450,6v2
ZD451,12v
ZD452,5v1
ZD501,15v
ZD502,5v1
ZD503,NP
ZD901,20v
ZD902,27v
ZD903,18v
ZD904,15v
ZD952,NP (20v)
